,formula,Temperature,target
366,Br3Ti1,700.0,137.21
367,Br3Ti1,600.0,125.507
368,Br3Ti1,500.0,114.709
369,Br3Ti1,400.0,105.818
370,Br3Ti1,300.0,101.776
371,Br3Ti1,298.0,101.705
372,C1Cu1N1,900.0,80.249
373,C1Cu1N1,800.0,78.032
374,C1Cu1N1,700.0,75.689
375,C1Cu1N1,600.0,73.13600000000001
376,C1Cu1N1,500.0,70.249
377,C1Cu1N1,400.0,66.735
378,C1Cu1N1,300.0,62.195
379,C1Cu1N1,298.0,61.024
380,B1,298.0,11.315
381,B1,2700.0,31.778
382,B1,2600.0,31.457
383,B1,2500.0,31.133000000000003
384,B1,2400.0,30.806
385,B1,2350.0,30.641
386,B1,2300.0,30.475
387,B1,2200.0,30.14
388,B1,2100.0,29.799
389,B1,2000.0,29.452
390,B1,1900.0,29.097
391,B1,1800.0,28.732
392,B1,1700.0,28.356
393,B1,1600.0,27.966
394,B1,1500.0,27.557
395,B1,1400.0,27.125
396,B1,1300.0,26.663
397,B1,1200.0,26.161
398,B1,1100.0,25.606
399,B1,1000.0,24.978
400,B1,900.0,24.245
401,B1,800.0,23.361
402,B1,700.0,22.249
403,B1,600.0,20.778
404,B1,500.0,18.722
405,B1,450.0,17.361
406,B1,400.0,15.693
407,B1,350.0,13.654000000000002
408,B1,300.0,11.405
409,Al1F6Na3,298.0,215.727
410,Al1F6Na3,1100.0,332.461
411,Al1F6Na3,1000.0,318.582
412,Al1F6Na3,900.0,304.691
413,Al1F6Na3,836.0,295.809
414,Al1F6Na3,800.0,290.78
415,Al1F6Na3,700.0,276.822
416,Al1F6Na3,600.0,262.793
417,Al1F6Na3,500.0,248.634
418,Al1F6Na3,400.0,236.379
419,Al1F6Na3,300.0,216.212
420,Ca1H2O2,900.0,116.022
421,Ca1H2O2,800.0,113.512
422,Ca1H2O2,700.0,110.709
423,Ca1H2O2,600.0,107.445
424,Ca1H2O2,500.0,103.931
425,Ca1H2O2,400.0,98.408
426,Ca1H2O2,300.0,87.78
427,Ca1H2O2,298.0,87.48700000000001
428,B2Be3O6,298.0,139.746
429,B2Be3O6,2900.0,332.754
430,B2Be3O6,2800.0,330.829
431,B2Be3O6,2700.0,328.904
432,B2Be3O6,2600.0,327.105
